pfaf_id,area_km2,ISO,Admin0,Admin1,rfr_score,cfr_score
342550,9943.931982455,RUS,Russia,Sakha,0.829350018,0.0
342560,15811.192714,RUS,Russia,Sakha,1.555570458,0.0
342570,25320.175024199994,RUS,Russia,Sakha,3.413374787,0.0
342580,17095.635461537906,RUS,Russia,Sakha,2.66034036,0.0
342590,1545.55896991,RUS,Russia,Sakha,1.006971525,0.0
342610,522.4281530282,RUS,Russia,Sakha,2.003358963,0.0
342621,870.310424626,RUS,Russia,Sakha,3.037993288,0.0
342622,22910.8052105292,RUS,Russia,Sakha,2.607439082,0.0
342623,2743.3336632199994,RUS,Russia,Sakha,3.944070595,0.0
342624,6023.014870016,RUS,Russia,Irkutsk,2.2579064630000003,0.0
342625,5889.0562884369,RUS,Russia,Sakha,3.181461109,0.0
342626,22513.733197835903,RUS,Russia,Irkutsk,2.407396935,0.0
342627,7285.212436737,RUS,Russia,Zabaykal'ye,0.9949028409999999,0.0
342628,3276.6055460621697,RUS,Russia,Zabaykal'ye,2.475310247,0.0
342629,15776.537413958931,RUS,Russia,Zabaykal'ye,2.451264477,0.0
342631,2475.6368185574,RUS,Russia,Sakha,0.0,0.0
342632,1433.268423694,RUS,Russia,Sakha,1.185366599,0.0
342633,8113.689797240509,RUS,Russia,Sakha,4.011379684,0.0
342634,2279.760584222,RUS,Russia,Sakha,0.0,0.0
342635,1765.262123493,RUS,Russia,Sakha,0.0,0.0
342636,3561.4307298450003,RUS,Russia,Sakha,0.618414234,0.0
342637,5755.942148700001,RUS,Russia,Sakha,1.008724151,0.0
342638,3628.4772977299,RUS,Russia,Sakha,1.464699438,0.0
342639,3049.7294763594,RUS,Russia,Sakha,1.5702772680000001,0.0
342640,5391.417924196,RUS,Russia,Amur,2.800669612,0.0
342650,4738.8010056599,RUS,Russia,Amur,1.719272964,0.0
342661,7138.184611461401,RUS,Russia,Amur,3.381074514,0.0
342662,4431.67138398,RUS,Russia,Amur,3.05246532,0.0
342663,84.94301438229999,RUS,Russia,Amur,3.8038397689999996,0.0
342664,3992.99967129,RUS,Russia,Amur,2.4988980130000003,0.0
342665,1583.66856063,RUS,Russia,Amur,2.654388384,0.0
342666,2886.29512431,RUS,Russia,Amur,2.033770101,0.0
342667,100.474972306,RUS,Russia,Amur,3.211524528,0.0
342668,2957.99185845,RUS,Russia,Amur,1.706705474,0.0
342669,8905.266309219998,RUS,Russia,Amur,3.276729688,0.0
342670,9538.289542039998,RUS,Russia,Amur,2.39240345,0.0
342680,14662.954482977697,RUS,Russia,Zabaykal'ye,3.4585230680000003,0.0
342690,22554.865780984,RUS,Russia,Zabaykal'ye,1.5150739430000002,0.0
342710,4401.92615925,RUS,Russia,Sakha,2.5630801,0.0
342720,9785.43207736,RUS,Russia,Sakha,3.4831410189999996,0.0
342730,12670.972776850798,RUS,Russia,Sakha,2.1235536219999998,0.0
342740,26719.5524649714,RUS,Russia,Irkutsk,2.242138731,0.0
342750,6437.60173430588,RUS,Russia,Sakha,2.8494022489999997,0.0
342761,3111.50334808,RUS,Russia,Sakha,3.40686812,0.0
342762,6212.33650745,RUS,Russia,Sakha,1.3745733530000002,0.0
342763,444.974108498,RUS,Russia,Sakha,3.343474375,0.0
342764,4303.75165053,RUS,Russia,Sakha,0.630959071,0.0
342765,12038.580069773,RUS,Russia,Sakha,3.3934040289999996,0.0
342766,2907.5936522869997,RUS,Russia,Sakha,2.025838148,0.0
342767,1647.55480916,RUS,Russia,Sakha,0.0,0.0
342768,3832.0644716972,RUS,Russia,Sakha,4.005701762,0.0
342769,3229.3518151333,RUS,Russia,Sakha,4.000310238,0.0
342770,14361.98657193,RUS,Russia,Sakha,4.034104258,0.0
342780,14236.118454965053,RUS,Russia,Sakha,3.610864745,0.0
342790,341.877922502,RUS,Russia,Sakha,4.01695804,0.0
342810,336.72808544274,RUS,Russia,Sakha,3.975211143,0.0
342820,18257.003912718657,RUS,Russia,Irkutsk,2.585848584,0.0
342830,17458.445728967003,RUS,Russia,Irkutsk,2.7758351510000003,0.0
342840,11213.018845263001,RUS,Russia,Irkutsk,1.3078863170000001,0.0
342850,12732.50677853,RUS,Russia,Irkutsk,2.73875347,0.0
342861,5079.094138101,RUS,Russia,Irkutsk,3.15483047,0.0
342862,2746.6522659403995,RUS,Russia,Irkutsk,2.65739135,0.0
342863,3176.5837626946004,RUS,Russia,Irkutsk,3.7343322619999997,0.0
342864,4773.034844442,RUS,Russia,Buryat,2.105345663,0.0
342865,7083.9899319872,RUS,Russia,Irkutsk,3.296009662,0.0
342866,7639.369842560999,RUS,Russia,Irkutsk,1.066881119,0.0
342867,3702.89912971,RUS,Russia,Irkutsk,3.4050505460000005,0.0
342868,5730.2996301,RUS,Russia,Irkutsk,2.0127824569999997,0.0
342869,6612.164906609199,RUS,Russia,Irkutsk,3.114759095,0.0
342870,20161.049754199994,RUS,Russia,Irkutsk,3.572747594,0.0
342880,12464.4885412,RUS,Russia,Irkutsk,3.033971635,0.0
342891,7734.301151310001,RUS,Russia,Irkutsk,4.000615659,0.0
342892,3642.36359843,RUS,Russia,Irkutsk,3.082067192,0.0
342893,6281.304993129998,RUS,Russia,Irkutsk,3.2796074739999996,0.0
342894,10348.2083673,RUS,Russia,Irkutsk,4.014307041,0.0
342895,474.457601025,RUS,Russia,Irkutsk,4.030130293,0.0
342896,7279.473834319999,RUS,Russia,Irkutsk,4.022259349,0.0
342897,8812.559344369998,RUS,Russia,Irkutsk,3.734713965,0.0
342898,4845.852310170001,RUS,Russia,Irkutsk,2.7698489630000003,0.0
342899,9123.558036461383,RUS,Russia,Irkutsk,3.1764761910000003,0.0
342910,6460.9303020973,RUS,Russia,Irkutsk,4.0001589719999995,0.0
342920,18798.693223760005,RUS,Russia,Irkutsk,2.573250551,0.0
342931,4547.61001775,RUS,Russia,Irkutsk,3.483604575,0.0
342932,9402.8820333576,RUS,Russia,Irkutsk,1.388207516,0.0
342933,7381.019585614002,RUS,Russia,Irkutsk,4.002736206,0.0
342934,2356.1567142244,RUS,Russia,Irkutsk,1.4558579219999999,0.0
342935,6392.742062332,RUS,Russia,Irkutsk,3.397276535,0.0
342936,3605.7481512767,RUS,Russia,Irkutsk,4.01846221,0.0
342937,6608.23799200273,RUS,Russia,Buryat,3.0992044919999997,0.0
342938,6507.857706936892,RUS,Russia,Zabaykal'ye,2.407229586,0.0
342939,516.812101237,RUS,Russia,Zabaykal'ye,2.436747216,0.0
342940,11943.546907409442,RUS,Russia,Buryat,2.692349212,0.0
342950,11273.1507685003,RUS,Russia,Buryat,2.249041925,0.0
342961,1182.2471059,RUS,Russia,Buryat,0.0,0.0
342962,3396.91710404,RUS,Russia,Buryat,0.0,0.0
342963,1635.47565332,RUS,Russia,Buryat,0.0,0.0
342964,16571.6909474,RUS,Russia,Buryat,2.1987324619999997,0.0
342965,9077.67605021,RUS,Russia,Buryat,2.137992651,0.0
342966,3587.0508486599997,RUS,Russia,Buryat,3.10272591,0.0
342967,747.898019882,RUS,Russia,Buryat,4.008362137,0.0
342968,1652.06269962,RUS,Russia,Buryat,4.022254944,0.0
342969,4289.053997575001,RUS,Russia,Buryat,3.5105333739999995,0.0
342970,476.69600562899996,RUS,Russia,Zabaykal'ye,0.0,0.0
342980,17515.452840928003,RUS,Russia,Zabaykal'ye,3.330356019,0.0
342991,1346.7255557170001,RUS,Russia,Buryat,0.0,0.0
342992,10611.001983,RUS,Russia,Zabaykal'ye,2.468207105,0.0
342993,4167.01017639,RUS,Russia,Zabaykal'ye,1.8575054130000002,0.0
342994,9927.61457632,RUS,Russia,Zabaykal'ye,3.241922958,0.0
342995,13501.771819110003,RUS,Russia,Zabaykal'ye,3.0739891810000004,0.0
342996,10124.567124533001,RUS,Russia,Buryat,3.379650999,0.0
342997,3229.581222,RUS,Russia,Buryat,4.006243051,0.0
342998,6625.24294412,RUS,Russia,Buryat,2.410024621,0.0
342999,18440.7650773,RUS,Russia,Buryat,3.813860052,0.0
343000,10016.834930811901,RUS,Russia,Sakha,3.3712454010000004,3.050782181
351101,1278.4033610466001,RUS,Russia,Sakha,1.535399253,0.0
351102,2249.4653614794697,RUS,Russia,Sakha,0.0,0.0
351103,8.83321530829,RUS,Russia,Sakha,0.0,0.0
351104,1668.56733244127,RUS,Russia,Sakha,4.017022113,0.0
351105,187.8180438076,RUS,Russia,Sakha,0.0,0.0
351106,978.4083890531301,RUS,Russia,Sakha,0.0,0.0
351107,346.95981350215004,RUS,Russia,Sakha,0.0,0.0
351108,38950.29425454769,RUS,Russia,Sakha,3.0812929939999996,0.0
351109,2544.4455614514004,RUS,Russia,Sakha,4.036179625,0.0
351211,1636.07031009724,RUS,Russia,Sakha,4.016562331,0.0
351212,4387.67474564338,RUS,Russia,Sakha,3.309655926,0.0
351213,1006.11319552,RUS,Russia,Sakha,4.036179625,0.0
351214,3026.31941695,RUS,Russia,Sakha,2.7594659630000002,0.0
351215,10867.983835700003,RUS,Russia,Sakha,3.7401774160000003,0.0
351216,2536.20989524,RUS,Russia,Sakha,0.0,0.0
351217,3844.8509183,RUS,Russia,Sakha,1.132195004,0.0
351218,3068.16295506,RUS,Russia,Sakha,3.0956951719999997,0.0
351219,844.2923348179999,RUS,Russia,Sakha,0.738342938,0.0
351221,795.7545017669999,RUS,Russia,Sakha,2.6112356119999998,0.0
351222,3859.29394804,RUS,Russia,Sakha,1.848586181,0.0
351223,11048.4288066,RUS,Russia,Sakha,3.132567049,0.0
351224,7097.37705586,RUS,Russia,Sakha,1.79907642,0.0
351225,1046.14006543,RUS,Russia,Sakha,3.650522173,0.0
351226,3680.47907019,RUS,Russia,Sakha,0.0,0.0
351227,4071.6218252,RUS,Russia,Sakha,2.922143904,0.0
351228,3132.4478797,RUS,Russia,Sakha,2.452875235,0.0
351229,5598.5279541,RUS,Russia,Sakha,3.3708893669999997,0.0
351230,18550.679269100005,RUS,Russia,Sakha,2.764953198,0.0
351241,298.52716883200003,RUS,Russia,Sakha,3.4020012000000004,0.0
351242,4954.09043186,RUS,Russia,Sakha,3.214232366,0.0
351243,4279.78939662,RUS,Russia,Sakha,0.667225979,0.0
