,continet,country,year,geotype,res,link,imageurl,imagesize
107,Americas,Trinidad and Tobago,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49893,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/TTO/tto_ppp_2020_constrained.tif,0.71
108,Americas,Turks and Caicos Isl,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49898,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/TCA/tca_ppp_2020_constrained.tif,0.26
109,Americas,United States of Ame,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49727,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/USA/usa_ppp_2020_constrained.tif,471.47
110,Americas,United States Virgin,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49728,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/VIR/vir_ppp_2020_constrained.tif,0.25
111,Americas,Uruguay,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49907,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/URY/ury_ppp_2020_constrained.tif,3.79
112,Americas,Venezuela,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49909,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/VEN/ven_ppp_2020_constrained.tif,19.8
113,Asia,Afghanistan,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49735,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/AFG/afg_ppp_2020_constrained.tif,13.47
114,Asia,Armenia,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49747,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/ARM/arm_ppp_2020_constrained.tif,1.9
115,Asia,Azerbaijan,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49741,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/AZE/aze_ppp_2020_constrained.tif,5.72
116,Asia,Bahrain,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49745,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/BHR/bhr_ppp_2020_constrained.tif,0.22
117,Asia,Bangladesh,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49746,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/BGD/bgd_ppp_2020_constrained.tif,14.02
118,Asia,Bhutan,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49751,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/BTN/btn_ppp_2020_constrained.tif,0.82
119,Asia,Brunei Darussalam,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49757,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/BRN/brn_ppp_2020_constrained.tif,0.47
120,Asia,Cambodia,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49761,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/KHM/khm_ppp_2020_constrained.tif,4.86
121,Asia,China,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49730,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/CHN/chn_ppp_2020_constrained.tif,656.88
122,Asia,Cyprus,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49771,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/CYP/cyp_ppp_2020_constrained.tif,1.01
123,Asia,Georgia,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49787,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/GEO/geo_ppp_2020_constrained.tif,3.31
